insertId,labels.execution_id,labels.instance_id,logName,receiveLocation,receiveTimestamp,receivedLocation,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,severity,textPayload,timestamp,trace
63f551cf00072a583e0b3a91,f2rku6ra8ued,00c61b117c7482097379ecba5976103ee87eb0a86cb218e0369bc973aff77c67f54340005accba7d6788fdec74940177199a4bb88c6405746a109a,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2023-02-21T23:20:47.732646821Z,,helloWorld,blidd-experiments,us-central1,cloud_function,ERROR,"Error: Process exited with code 1
    at process.<anonymous> (/layers/google.nodejs.functions-framework/functions-framework/node_modules/@google-cloud/functions-framework/build/src/invoker.js:92:22)
    at process.emit (node:events:513:28)
    at process.emit (node:domain:489:12)
    at process.exit (node:internal/process/per_thread:190:15)
    at /workspace/index.js:7:11
    at cloudFunction (/workspace/node_modules/firebase-functions/lib/v1/providers/https.js:51:16)
    at /layers/google.nodejs.functions-framework/functions-framework/node_modules/@google-cloud/functions-framework/build/src/function_wrappers.js:101:17
    at processTicksAndRejections (node:internal/process/task_queues:78:11)",2023-02-21T23:20:47.469592Z,projects/blidd-experiments/traces/cf2d0fb8a3a209495ea5b64a867bd46a
1bgelomf2fq92u,f2rku6ra8ued,,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2023-02-21T23:20:47.398399368Z,,helloWorld,blidd-experiments,us-central1,cloud_function,DEBUG,"Function execution took 40 ms, finished with status: 'crash'",2023-02-21T23:20:47.293517898Z,projects/blidd-experiments/traces/cf2d0fb8a3a209495ea5b64a867bd46a
1bgelomf2fq92t,f2rku6ra8ued,,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2023-02-21T23:20:47.398399368Z,,helloWorld,blidd-experiments,us-central1,cloud_function,DEBUG,Function execution started,2023-02-21T23:20:47.253514455Z,projects/blidd-experiments/traces/cf2d0fb8a3a209495ea5b64a867bd46a
63f551ce000373596bc0d096,uxqitb3nl0a0,00c61b117cf3444356032e3b68766dfddae6d4efd396fb5901df8833e1513de8488538ed437ed5fbc24f8a40d4acce39dee5ec9bc91cd41217320d,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2023-02-21T23:20:46.397744946Z,,helloWorld,blidd-experiments,us-central1,cloud_function,ERROR,"Error: Process exited with code 1
    at process.<anonymous> (/layers/google.nodejs.functions-framework/functions-framework/node_modules/@google-cloud/functions-framework/build/src/invoker.js:92:22)
    at process.emit (node:events:513:28)
    at process.emit (node:domain:489:12)
    at process.exit (node:internal/process/per_thread:190:15)
    at /workspace/index.js:7:11
    at cloudFunction (/workspace/node_modules/firebase-functions/lib/v1/providers/https.js:51:16)
    at /layers/google.nodejs.functions-framework/functions-framework/node_modules/@google-cloud/functions-framework/build/src/function_wrappers.js:101:17
    at processTicksAndRejections (node:internal/process/task_queues:78:11)",2023-02-21T23:20:46.226137Z,projects/blidd-experiments/traces/ace57e3708792c3b9af946045f84a340
63f551ce0002eba48d936099,vwnh5p2uqvxp,00c61b117cdd33f00cb3143ee83c7538ffd674557ae1771fae4b822471bbb64ca5f0cc6ef13de17ea2fc74fc621db19705fe356f12f76c2baf1c,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2023-02-21T23:20:46.374595292Z,,helloWorld,blidd-experiments,us-central1,cloud_function,ERROR,"Error: Process exited with code 1
    at process.<anonymous> (/layers/google.nodejs.functions-framework/functions-framework/node_modules/@google-cloud/functions-framework/build/src/invoker.js:92:22)
    at process.emit (node:events:513:28)
    at process.emit (node:domain:489:12)
    at process.exit (node:internal/process/per_thread:190:15)
    at /workspace/index.js:7:11
    at cloudFunction (/workspace/node_modules/firebase-functions/lib/v1/providers/https.js:51:16)
    at /layers/google.nodejs.functions-framework/functions-framework/node_modules/@google-cloud/functions-framework/build/src/function_wrappers.js:101:17
    at processTicksAndRejections (node:internal/process/task_queues:78:11)",2023-02-21T23:20:46.191396Z,projects/blidd-experiments/traces/6995e94b822d2e8b03572b67a0ed8dba
63f551ce00013f33f5fc9aab,71vo8keqrtvd,00c61b117c044744a9ebe341d92e3b02b448bd690e2519a19e3d1b36bbee4828ec7b041361f8bf4c08875a2ee072504de1c48f72619435064256,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2023-02-21T23:20:46.198324097Z,,helloWorld,blidd-experiments,us-central1,cloud_function,ERROR,"Error: Process exited with code 1
    at process.<anonymous> (/layers/google.nodejs.functions-framework/functions-framework/node_modules/@google-cloud/functions-framework/build/src/invoker.js:92:22)
    at process.emit (node:events:513:28)
    at process.emit (node:domain:489:12)
    at process.exit (node:internal/process/per_thread:190:15)
    at /workspace/index.js:7:11
    at cloudFunction (/workspace/node_modules/firebase-functions/lib/v1/providers/https.js:51:16)
    at /layers/google.nodejs.functions-framework/functions-framework/node_modules/@google-cloud/functions-framework/build/src/function_wrappers.js:101:17
    at processTicksAndRejections (node:internal/process/task_queues:78:11)",2023-02-21T23:20:46.081715Z,projects/blidd-experiments/traces/396a03593942030710f2e4da6a4f01a3
1ndpjn7f7t31zl,uxqitb3nl0a0,,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2023-02-21T23:20:46.064827594Z,,helloWorld,blidd-experiments,us-central1,cloud_function,DEBUG,"Function execution took 1625 ms, finished with status: 'crash'",2023-02-21T23:20:46.022788229Z,projects/blidd-experiments/traces/ace57e3708792c3b9af946045f84a340
nbjqohf7rr9ed,vwnh5p2uqvxp,,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2023-02-21T23:20:46.044960862Z,,helloWorld,blidd-experiments,us-central1,cloud_function,DEBUG,"Function execution took 33 ms, finished with status: 'crash'",2023-02-21T23:20:46.001316026Z,projects/blidd-experiments/traces/6995e94b822d2e8b03572b67a0ed8dba
b5baf7dkcbw,71vo8keqrtvd,,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2023-02-21T23:20:46.198324097Z,,helloWorld,blidd-experiments,us-central1,cloud_function,DEBUG,"Function execution took 1085 ms, finished with status: 'crash'",2023-02-21T23:20:45.995923684Z,projects/blidd-experiments/traces/396a03593942030710f2e4da6a4f01a3
nbjqohf7rr9ec,vwnh5p2uqvxp,,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2023-02-21T23:20:46.044960862Z,,helloWorld,blidd-experiments,us-central1,cloud_function,DEBUG,Function execution started,2023-02-21T23:20:45.967659023Z,projects/blidd-experiments/traces/6995e94b822d2e8b03572b67a0ed8dba
